page_count,avg_page_length,entity_density,relation_indicators,topic_diversity,topic_transitions,is_qna_pattern,is_decision_tree,is_entity centric,time_span,temporal_density,semantic_complexity,hyperedge_density,visual_salience_score
8.0,49.3125,1.5,1.5,1.375,1.5714285,1.0,0.0,1.0,0.03138889,3.0,0.073248245,7.75,0.0
8.0,43.8125,2.0,1.875,1.75,1.8571428,0.0,0.0,1.0,0.025555555,3.875,0.07346272,8.0,-0.15406094
7.0,46.642857,0.71428573,0.5714286,0.71428573,0.6666667,1.0,0.0,1.0,0.020208333,1.2857143,0.0700209,3.7142856,0.0
5.0,106.3,1.8,2.0,2.0,2.25,1.0,0.0,1.0,0.027638888,3.8,0.06869726,10.0,-0.20489797
6.0,111.75,1.5,1.1666666,2.0,2.2,1.0,0.0,1.0,0.038194444,2.6666667,0.0700835,8.0,-0.06570702
7.0,55.357143,1.0,0.85714287,1.8571428,2.0,1.0,0.0,1.0,0.020763889,1.8571428,0.07801562,5.714286,0.14012864
5.0,95.9,2.2,2.4,2.0,2.25,1.0,0.0,1.0,0.028819444,4.6,0.041217905,12.0,0.12661645
6.0,157.33333,2.6666667,2.3333333,2.0,2.2,1.0,0.0,0.0,0.059375,5.0,0.066820666,10.333333,0.2100624
6.0,41.0,1.0,0.6666667,1.8333334,2.0,1.0,0.0,1.0,0.012986111,1.6666666,0.066325866,5.1666665,0.0
8.0,43.1875,1.0,1.0,1.125,1.4285715,1.0,0.0,1.0,0.022708334,2.0,0.051773652,4.5,0.0
8.0,45.5,0.875,0.75,1.375,1.4285715,1.0,0.0,1.0,0.022916667,1.625,0.0485394,4.125,0.16623455
6.0,170.41667,1.3333334,1.5,2.0,2.2,0.0,0.0,1.0,0.072847225,2.8333333,0.042166,8.0,0.16079451
6.0,172.08333,2.0,1.5,1.5,1.6,1.0,0.0,1.0,0.052430555,3.5,0.044657223,10.0,0.20408116
6.0,68.25,1.0,0.8333333,1.8333334,2.2,1.0,0.0,1.0,0.03013889,1.8333334,0.057122283,5.8333335,0.20739369
8.0,54.1875,1.25,1.0,1.25,1.7142857,1.0,0.0,1.0,0.027013889,2.25,0.05271116,6.125,0.12378248
6.0,114.0,1.5,1.1666666,1.6666666,1.8,1.0,0.0,1.0,0.04972222,2.6666667,0.04555941,7.1666665,0.16034393
6.0,202.5,1.5,1.3333334,2.0,2.2,1.0,0.0,1.0,0.07111111,2.8333333,0.05325835,8.166667,0.16395001
6.0,128.08333,1.0,1.5,2.0,2.2,1.0,0.0,1.0,0.04159722,2.5,0.041257393,7.1666665,0.15726429
7.0,56.214287,1.4285715,1.2857143,1.2857143,1.6666666,1.0,0.0,1.0,0.027361112,2.7142856,0.07590601,8.285714,0.21992171
7.0,43.142857,2.0,1.4285715,1.8571428,2.0,1.0,0.0,1.0,0.022291666,3.4285715,0.07560138,9.142858,0.14258711
8.0,50.875,1.375,1.0,1.875,2.0,1.0,0.0,0.0,0.026875,2.375,0.072605565,6.5,0.0
